method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
ML,ML_GGW_98_0004,GGW,98,54,969,1022,54,52,18,544.5015076471864,1219.9843650731445,12.315789222717283,38.84210586547852,275.0,322.5,0.8286063042751436
ML,ML_GGW_105_0003,GGW,105,32,846,880,35,29,18,278.5090594205707,1372.1500544542498,16.105262756347656,33.157894134521484,297.5,342.5,0.778404672368316
ML,ML_GGW_114_0005,GGW,114,29,840,868,29,29,18,485.96799415617033,787.5709204345319,16.105262756347656,40.73684310913086,295.0,322.5,0.7974658038748615
ML,ML_GGW_117_0008,GGW,117,48,900,947,48,27,19,409.114552634826,839.9674801355158,12.315789222717283,46.42105102539063,285.0,335.0,0.8294767280598756
ML,ML_CTL_52_0008,CTL,52,46,909,954,46,46,19,443.7176469483893,830.7568167952583,16.105262756347656,25.578947067260746,295.0,332.5,0.8283783245019222
ML,ML_GGW_116_0011,GGW,116,34,876,909,34,34,19,268.59315444570353,829.9540309811052,14.210526466369627,23.6842098236084,265.0,317.5,0.7541313498832937
ML,ML_CTL_42_0007,CTL,42,28,1004,1032,29,25,19,453.4266566514525,1701.1349011858454,14.210526466369627,18.0,322.5,337.5,0.7190115477137639
ML,ML_GGW_104_0003,GGW,104,28,807,834,28,28,19,144.30389914236753,1217.8892666930878,35.05263137817383,48.31578826904297,287.5,320.0,0.8965433711547127
ML,ML_GGW_118_0006,GGW,118,24,980,1003,24,24,19,512.2827212747494,1342.6481509580656,16.105262756347656,19.894737243652344,275.0,307.5,0.7653181773543839
ML,ML_CTL_39_0018,CTL,39,75,1017,1091,75,75,20,198.66955082359272,1838.169568666689,12.315789222717283,44.52631759643555,280.0,325.0,0.8212880044751956
ML,ML_CTL_44_0014,CTL,44,56,997,1052,56,56,20,410.8894350882886,1349.0791380051326,16.105262756347656,29.36842155456543,265.0,312.5,0.763734699924265
ML,ML_CTL_47_0016,CTL,47,45,1005,1049,45,41,20,504.4226358336245,827.4736069701681,16.105262756347656,36.94736862182617,300.0,322.5,0.847099691807367
ML,ML_CTL_48_0006,CTL,48,56,855,911,57,55,22,119.32710209202106,1100.3163625793277,16.105262756347656,33.157894134521484,287.5,342.5,0.8214000882068834
ML,ML_GGW_116_0003,GGW,116,39,775,814,40,39,22,245.59972584729775,1657.2201568972046,16.105262756347656,48.31578826904297,305.0,332.5,0.7742305572976298
ML,ML_GGW_118_0007,GGW,118,38,997,1035,39,38,22,203.44165559583018,1642.9458261683976,16.105262756347656,35.05263137817383,312.5,335.0,0.8087077148419357
ML,ML_GGW_108_0030,GGW,108,27,1060,1088,29,27,22,328.33177979127686,1213.5572025477713,14.210526466369627,19.894737243652344,312.5,347.5,0.770170500468553
ML,ML_GGW_105_0005,GGW,105,24,876,899,24,24,22,222.57106370197215,513.5768711571974,12.315789222717283,21.789474487304688,307.5,330.0,0.7566473214698931
ML,ML_GGW_109_0013,GGW,109,24,952,975,24,22,22,293.7341094296037,508.4531056244947,16.105262756347656,31.263158798217773,297.5,320.0,0.7708335831937956
ML,ML_GGW_103_0015,GGW,103,44,1019,1062,44,38,23,273.0765483824181,2525.535793843587,21.789474487304688,35.05263137817383,267.5,292.5,0.802355166315398
